,id,title,release_date,vote_average,overview,genre_ids,popularity,poster_path,genres,release_year
5223,32293,The Cheetah Girls,2003-08-15,6.044,"A four-member teen girl group named the Cheetah Girls go to a Manhattan High School for the Performing Arts and try to become the first freshmen to win the talent show in the school's history. During the talent show auditions, they meet a big-time producer named Jackal Johnson, who tries to make the group into superstars, but the girls run into many problems.","[10751, 35, 18, 10402, 10770]",6.3593,/7XOJqR8WErIm1ZqytABCEuUke1C.jpg,"Family, Comedy, Drama, Music, TV Movie",2003
5224,11104,Chungking Express,1994-07-14,7.971,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.","[18, 35, 10749]",6.46,/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg,"Drama, Comedy, Romance",1994
5225,1276108,Last Mile,2024-08-23,7.3,"On the night before ‘Black Friday,’ which is the one of the busiest commerce days, a cardboard box, that is delivered from the world's largest shopping site, explodes. Soon after, a series of mysterious explosion cases occurs. The entire nation becomes terrorized by the shocking events. Funado Erena has just began to work as the center director for a large distribution warehouse that covers three-quarters of the Kanto area. Erena must gain control over this unprecedented situation with team manager Nashimoto Ko.","[18, 53, 80, 9648]",6.426,/rCs6Jbyfs7HDNEmLwGXK32vlsXG.jpg,"Drama, Thriller, Crime, Mystery",2024
5226,526019,Like a Boss,2020-01-09,6.3,"Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.",[35],9.1407,/yce0CZPWd0GGudksRJi8p4gDj1M.jpg,Comedy,2020
5227,62961,Metal Skin Panic MADOX-01,1987-12-16,5.5,"Ace female test pilot Kusomoto Elle humiliates macho tank driver Lt. Kilgore in the first demonstration of the advanced personal battle tank, the MADOX. Kilgore vows revenge, and gets his chance when the army rather carelessly loses the prototype in Tokyo.  The MADOX is found by engineering student Sujimoto Kouji, who doesn't take the time to completely read the manual and ends up zooming around Tokyo trapped in a machine he doesn't quite know how to operate.  Guess who gets the job of stopping the now mobile missing MADOX? Poor Kouji. If he's late for his date, it's over between him and his girlfriend. His current attire redefines the term ""over-dressed.""  And to top it all off, Kilgore wants to make him late- as in ""the late Kouji!""","[878, 28, 35, 16]",6.5309,/41DjvY8KFEN3dcsRaPxhysMuso5.jpg,"Science Fiction, Action, Comedy, Animation",1987
5228,236,Muriel's Wedding,1994-09-29,6.826,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.","[35, 18, 10749]",6.7942,/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg,"Comedy, Drama, Romance",1994
5229,1030419,Legend of the Galactic Heroes: Die Neue These - Intrigue 1,2022-09-30,6.1,"The story focuses on the exploits of rivals Reinhard von Lohengramm and Yang Wen-li, as they rise to power and fame in the Galactic Empire and the Free Planets Alliance, respectively.","[16, 878, 10752, 18]",6.9448,/brrgSFtcymZWaXl5a23GJRWdOSY.jpg,"Animation, Science Fiction, War, Drama",2022
5231,144616,Sofia the First: Once Upon a Princess,2012-11-18,7.4,"Set in the storybook world of Enchancia, the music-filled movie follows Sofia, an average girl whose life suddenly changes when her mother marries the king and she is whisked off to live in a castle with her mom, new step-father, King Roland II, and step-siblings, Amber and James. Along the way this ordinary girl learns to navigate the extraordinary life of royalty, and in the process makes everyone around her feel special.","[16, 10751]",6.7335,/5MGUoGtlOK646iHo8sJLyDSrpDC.jpg,"Animation, Family",2012
5232,843416,Daddio,2024-06-27,6.295,A woman taking a cab ride from JFK airport engages in a conversation with the driver about the important relationships in their lives.,[18],6.7536,/dyrCsHUhOfpuci51lHcdAnO3db0.jpg,Drama,2024
5233,742317,Adult Children Games,2010-12-25,0.0,"Pavel has passionately fallen in love with 18-year-old Katya, a daughter of the horse stable owner, where he works as a vet. He constantly comes up with different ways to attract Katya's attention. However, his plans are shuttered by Alexei, whom Katya has found seriously wounded and in need of medical aid at the road side. Alexei's coming disrupts the usual course of life of the farm's inhabitants. Katya, a strange and extraordinary girl, falls in love with Alexei, who is seeking to escape from this queer place. Meanwhile, Katya's mother, Irina, is torn between her daughter and her love for Pavel. Passion, jealousy and hatred become intertwined in this love square.",[18],5.145,/jnaelDPl1mHQ89V9Ip19ejQZWKT.jpg,Drama,2010
